Date,Value
2002,1600.85
2002,1741.39
2002,1661.49
2002,1615.73
2002,1535.48
2002,1504.74
2002,1440.96
2002,1463.21
2002,1448.36
2002,1373.5
2002,1319.15
2002,1262.12
2002,1247.92
2002,1306.12
2002,1361.01
2002,1380.62
2002,1314.85
2002,1295.3
2002,1291.4
2002,1221.09
2002,1199.16
2002,1139.9
2002,1210.47
2002,1287.86
2002,1331.13
2002,1360.7
2002,1359.28
2002,1411.14
2002,1468.74
2002,1478.78
2002,1422.44
2002,1362.42
2002,1363.05
2002,1348.31
2003,1387.08
2003,1447.72
2003,1376.19
2003,1342.14
2003,1320.91
2003,1282.47
2003,1310.17
2003,1349.02
2003,1337.52
2003,1305.29
2003,1340.33
2003,1421.84
2003,1369.6
2003,1383.51
2003,1358.85
2003,1425.5
2003,1434.54
2003,1502.88
2003,1520.15
2003,1538.53
2003,1510.09
2003,1595.91
2003,1627.42
2003,1626.49
2003,1644.72
2003,1625.26
2003,1663.46
2003,1733.93
2003,1708.5
2003,1730.7
2003,1715.62
2003,1644.03
2003,1702.01
2003,1765.32
2003,1810.45
2003,1858.24
2003,1855.03
2003,1905.7
2003,1792.07
2003,1880.57
2003,1915.31
2003,1912.36
2003,1865.59
2003,1932.21
2003,1970.74
2003,1930.26
2003,1893.88
2003,1960.26
2003,1937.82
2003,1949
2003,1951.02
2003,1973.14
2004,2006.68
2004,2086.92
2004,2140.46
2004,2123.87
2004,2066.15
2004,2064.01
2004,2053.56
2004,2037.93
2004,2029.82
2004,2047.63
2004,1984.73
2004,1940.47
2004,1960.02
2004,2057.17
2004,2052.88
2004,1995.74
2004,2049.77
2004,1920.15
2004,1917.96
2004,1904.25
2004,1912.09
2004,1986.74
2004,1978.62
2004,1999.87
2004,1986.73
2004,2025.47
2004,2006.66
2004,1946.33
2004,1883.15
2004,1849.09
2004,1887.36
2004,1776.89
2004,1757.22
2004,1838.02
2004,1862.09
2004,1844.48
2004,1894.31
2004,1910.09
2004,1879.48
2004,1942.2
2004,1919.97
2004,1911.5
2004,1915.14
2004,1974.99
2004,2038.94
2004,2085.34
2004,2070.63
2004,2101.97
2004,2147.96
2004,2128.07
2004,2135.2
2004,2160.62
2004,2175.44
2005,2088.61
2005,2087.91
2005,2034.27
2005,2035.83
2005,2086.66
2005,2076.66
2005,2058.62
2005,2065.4
2005,2070.61
2005,2041.6
2005,2007.79
2005,1991.06
2005,1984.81
2005,1999.35
2005,1908.15
2005,1932.19
2005,1921.65
2005,1967.35
2005,1976.78
2005,2046.42
2005,2075.73
2005,2071.43
2005,2063
2005,2090.11
2005,2053.27
2005,2057.37
2005,2112.88
2005,2156.78
2005,2179.74
2005,2184.83
2005,2177.91
2005,2156.9
2005,2135.56
2005,2120.77
2005,2141.07
2005,2175.51
2005,2160.35
2005,2116.84
2005,2151.69
2005,2090.35
2005,2064.83
2005,2082.21
2005,2089.88
2005,2169.43
2005,2202.47
2005,2227.07
2005,2263.01
2005,2273.37
2005,2256.73
2005,2252.48
2005,2249.42
2005,2205.32
2006,2305.62
2006,2317.04
2006,2247.7
2006,2304.23
2006,2262.58
2006,2261.88
2006,2282.36
2006,2287.04
2006,2302.6
2006,2262.04
2006,2306.48
2006,2312.82
2006,2339.79
2006,2339.02
2006,2326.11
2006,2342.86
2006,2322.57
2006,2342.57
2006,2243.78
2006,2193.88
2006,2210.37
2006,2219.41
2006,2135.06
2006,2129.95
2006,2121.47
2006,2172.09
2006,2130.06
2006,2037.35
2006,2020.39
2006,2094.14
2006,2085.05
2006,2057.71
2006,2163.95
2006,2140.29
2006,2193.16
2006,2165.79
2006,2235.59
2006,2218.93
2006,2258.43
2006,2299.99
2006,2357.29
2006,2342.3
2006,2350.62
2006,2330.79
2006,2389.72
2006,2445.86
2006,2460.26
2006,2413.21
2006,2437.36
2006,2457.2
2006,2401.18
2006,2415.29
2007,2434.25
2007,2502.82
2007,2451.31
2007,2435.49
2007,2475.88
2007,2459.82
2007,2496.31
2007,2515.1
2007,2368
2007,2387.55
2007,2372.66
2007,2448.93
2007,2421.64
2007,2471.34
2007,2491.94
2007,2526.39
2007,2557.21
2007,2572.15
2007,2562.22
2007,2558.45
2007,2557.19
2007,2613.92
2007,2573.54
2007,2626.71
2007,2588.96
2007,2603.23
2007,2666.51
2007,2707
2007,2687.6
2007,2562.24
2007,2511.25
2007,2544.89
2007,2505.03
2007,2576.69
2007,2596.36
2007,2565.7
2007,2602.18
2007,2671.22
2007,2701.5
2007,2780.32
2007,2805.68
2007,2725.16
2007,2804.19
2007,2810.38
2007,2627.94
2007,2637.24
2007,2596.6
2007,2660.96
2007,2706.16
2007,2635.74
2007,2691.99
2007,2674.46
2008,2504.65
2008,2439.94
2008,2340.02
2008,2326.2
2008,2413.36
2008,2304.85
2008,2321.8
2008,2303.35
2008,2271.48
2008,2212.49
2008,2212.49
2008,2258.11
2008,2261.18
2008,2370.98
2008,2290.24
2008,2402.97
2008,2422.93
2008,2476.99
2008,2445.52
2008,2528.85
2008,2444.67
2008,2522.66
2008,2474.56
2008,2454.5
2008,2406.09
2008,2315.63
2008,2245.38
2008,2239.08
2008,2282.78
2008,2310.53
2008,2310.96
2008,2414.1
2008,2452.52
2008,2414.71
2008,2367.52
2008,2255.88
2008,2261.27
2008,2273.9
2008,2183.34
2008,1947.39
2008,1649.51
2008,1711.29
2008,1552.03
2008,1720.95
2008,1647.4
2008,1516.85
2008,1384.35
2008,1535.57
2008,1509.31
2008,1540.72
2008,1564.32
2008,1530.24
2009,1632.21
2009,1571.59
2009,1529.33
2009,1477.29
2009,1476.42
2009,1591.71
2009,1534.36
2009,1441.23
2009,1377.84
2009,1293.85
2009,1431.5
2009,1457.27
2009,1545.2
2009,1621.87
2009,1673.07
2009,1694.29
2009,1719.2
2009,1739
2009,1680.14
2009,1692.01
2009,1774.33
2009,1849.42
2009,1858.8
2009,1827.47
2009,1838.22
2009,1756.03
2009,1886.61
2009,1965.96
2009,1978.5
2009,2000.25
2009,1985.52
2009,2020.9
2009,2028.77
2009,2018.78
2009,2080.9
2009,2132.86
2009,2090.92
2009,2048.11
2009,2139.28
2009,2156.8
2009,2154.47
2009,2045.11
2009,2112.44
2009,2167.88
2009,2146.04
2009,2138.44
2009,2194.35
2009,2190.31
2009,2211.69
2010,2317.17
2010,2287.99
2010,2205.29
2010,2147.35
2010,2141.12
2010,2183.53
2010,2243.87
2010,2238.26
2010,2326.35
2010,2367.66
2010,2374.41
2010,2395.13
2010,2454.05
2010,2481.26
2010,2530.15
2010,2461.19
2010,2265.64
2010,2346.85
2010,2229.04
2010,2257.04
2010,2219.17
2010,2243.6
2010,2309.8
2010,2223.48
2010,2091.79
2010,2196.45
2010,2179.05
2010,2269.47
2010,2254.7
2010,2288.47
2010,2173.48
2010,2179.76
2010,2153.63
2010,2233.75
2010,2242.48
2010,2315.61
2010,2381.22
2010,2370.75
2010,2401.91
2010,2468.77
2010,2479.39
2010,2507.41
2010,2578.98
2010,2518.21
2010,2518.12
2010,2534.56
2010,2591.46
2010,2637.54
2010,2642.97
2010,2665.6
2010,2652.87
2011,2703.17
2011,2755.3
2011,2689.54
2011,2686.89
2011,2769.3
2011,2809.44
2011,2833.95
2011,2781.05
2011,2784.67
2011,2715.61
2011,2643.67
2011,2743.06
2011,2789.6
2011,2780.41
2011,2764.65
2011,2820.16
2011,2873.54
2011,2827.56
2011,2828.47
2011,2803.32
2011,2796.86
2011,2732.78
2011,2643.73
2011,2616.48
2011,2652.89
2011,2816.03
2011,2859.81
2011,2789.8
2011,2858.83
2011,2756.38
2011,2532.41
2011,2507.98
2011,2341.84
2011,2479.85
2011,2480.33
2011,2467.99
2011,2622.31
2011,2483.23
2011,2415.4
2011,2479.35
2011,2667.85
2011,2637.46
2011,2737.15
2011,2686.15
2011,2678.75
2011,2572.5
2011,2441.51
2011,2626.93
2011,2646.85
2011,2555.33
2011,2618.64
2011,2605.15
2012,2674.22
2012,2710.67
2012,2786.7
2012,2816.55
2012,2905.66
2012,2903.88
2012,2951.78
2012,2963.75
2012,2976.19
2012,2988.34
2012,3055.26
2012,3067.92
2012,3091.57
2012,3080.5
2012,3011.33
2012,3000.45
2012,3069.2
2012,2956.34
2012,2933.82
2012,2778.79
2012,2837.53
2012,2747.48
2012,2858.42
2012,2872.8
2012,2892.42
2012,2935.05
2012,2937.33
2012,2908.47
2012,2925.3
2012,2958.09
2012,2967.9
2012,3020.86
